 double in,bool negative_flag,bool positive_flag, bool DU
-28582,1,0,1
13864,1,0,1
357,0,0,0
24643,0,0,0
-11933,0,0,0
-22682,1,0,1
-4053,1,0,1
-13254,1,0,1
-12287,1,0,1
9740,1,0,1
-29839,0,0,0
25476,1,0,1
-24913,0,0,0
6384,1,0,1
-8626,0,0,0
-22892,1,0,1
22429,1,0,1
-12060,0,0,0
-13883,1,0,1
-14022,1,0,1
-22440,1,0,1
-8699,1,0,1
10040,1,0,1
-32203,0,0,0
-22688,1,0,1
-27489,1,0,1
-28003,1,0,1
-1378,1,0,1
-9145,1,0,1
19853,1,0,1
1550,0,0,0
22481,0,0,0
28085,0,0,0
-19392,0,0,0
2838,1,0,1
-6761,0,0,0
13938,1,0,1
11670,0,0,0
-32490,0,0,0
32405,1,0,1
-16629,0,0,0
-281,1,0,1
9278,1,0,1
-28290,0,0,0
14733,1,0,1
1546,0,0,0
-16815,0,0,0
-5515,1,0,1
-25150,1,0,1
-20446,1,0,1
-26626,1,0,1
-32699,1,0,1
12931,1,0,1
-2666,0,0,0
-9386,1,0,1
25083,1,0,1
18372,0,0,0
-31107,0,0,0
27262,1,0,1
12478,0,0,0
-15832,0,0,0
22117,1,0,1
589,0,0,0
-6062,0,0,0
32470,1,0,1
-21782,0,0,0
26691,1,0,1
17935,0,0,0
-30464,0,0,0
-7306,1,0,1
-7310,1,0,1
8709,1,0,1
26073,0,0,0
-2721,0,0,0
29577,1,0,1
28603,0,0,0
-22196,0,0,0
-31798,1,0,1
788,1,0,1
26604,0,0,0
-14596,0,0,0
7640,1,0,1
27624,0,0,0
-12915,0,0,0
-15733,1,0,1
-19788,1,0,1
-5067,1,0,1
8304,1,0,1
-32002,0,0,0
16984,1,0,1
28972,0,0,0
9971,0,0,0
27902,0,0,0
-27432,0,0,0
4364,1,0,1
-18325,0,0,0
29283,1,0,1
-6681,0,0,0
-29994,1,0,1
18226,1,0,1
8310,0,0,0
-19145,0,0,0
19672,1,0,1
7353,0,0,0
23391,0,0,0
-29861,0,0,0
-6564,1,0,1
-2131,1,0,1
-27600,1,0,1
13439,1,0,1
-11082,0,0,0
21125,1,0,1
-11997,0,0,0
10328,1,0,1
28429,0,0,0
18068,0,0,0
