double in_og; double in;bool negative_flag;bool positive_flag; bool DU
56223;-9313;0;0;0
6976;6976;0;0;0
52394;-13142;0;1;1
2970;2970;0;0;0
56400;-9136;0;1;1
3898;3898;0;0;0
20500;20500;0;1;1
11633;11633;0;1;1
57386;-8150;0;1;1
34145;-31391;0;0;0
20674;20674;0;0;0
59857;-5679;0;1;1
7059;7059;0;0;0
59033;-6503;0;1;1
4347;4347;0;0;0
33721;-31815;0;1;1
30765;30765;0;0;0
1430;1430;0;1;1
40735;-24801;0;1;1
50217;-15319;0;0;0
12719;12719;0;0;0
6180;6180;0;1;1
38909;-26627;0;1;1
38974;-26562;0;0;0
7909;7909;0;0;0
16328;16328;0;1;1
42291;-23245;0;1;1
44785;-20751;0;0;0
54446;-11090;0;0;0
25514;25514;0;0;0
60987;-4549;0;1;1
27029;27029;0;0;0
20220;20220;0;1;1
54162;-11374;0;1;1
3944;3944;0;0;0
7187;7187;0;1;1
51066;-14470;0;1;1
26040;26040;0;0;0
37797;-27739;0;1;1
21493;21493;0;0;0
29145;29145;0;1;1
2890;2890;0;1;1
40465;-25071;0;1;1
4462;4462;0;0;0
50756;-14780;0;1;1
39884;-25652;0;0;0
6287;6287;0;0;0
69;69;0;1;1
26843;26843;0;1;1
56353;-9183;0;1;1
62935;-2601;0;0;0
48504;-17032;0;0;0
22447;22447;0;0;0
29906;29906;0;1;1
53896;-11640;0;1;1
46091;-19445;0;0;0
64552;-984;0;0;0
47747;-17789;0;0;0
15810;15810;0;0;0
45243;-20293;0;1;1
46803;-18733;0;0;0
3647;3647;0;0;0
19870;19870;0;1;1
63929;-1607;0;1;1
41905;-23631;0;0;0
29648;29648;0;0;0
23983;23983;0;1;1
49465;-16071;0;1;1
13616;13616;0;0;0
10122;10122;0;1;1
59639;-5897;0;1;1
22942;22942;0;0;0
65526;-10;0;1;1
22780;22780;0;0;0
19975;19975;0;1;1
20165;20165;0;1;1
26385;26385;0;1;1
194;194;0;1;1
59219;-6317;0;1;1
47690;-17846;0;0;0
8024;8024;0;0;0
58203;-7333;0;1;1
19295;19295;0;0;0
52530;-13006;0;1;1
11327;11327;0;0;0
23370;23370;0;1;1
32812;-32724;0;1;1
40885;-24651;0;0;0
15599;15599;0;0;0
12303;12303;0;1;1
55530;-10006;0;1;1
13387;13387;0;0;0
39271;-26265;0;1;1
4556;4556;0;0;0
54275;-11261;0;1;1
59658;-5878;0;0;0
19364;19364;0;0;0
22364;22364;0;1;1
18767;18767;0;1;1
1270;1270;0;1;1
17492;17492;0;1;1
23411;23411;0;1;1
45583;-19953;0;1;1
25618;25618;0;0;0
5826;5826;0;1;1
45371;-20165;0;1;1
45399;-20137;0;0;0
10754;10754;0;0;0
922;922;0;1;1
55224;-10312;0;1;1
30279;30279;0;0;0
7659;7659;0;1;1
27635;27635;0;1;1
29151;29151;0;1;1
60099;-5437;0;1;1
36170;-29366;0;0;0
27652;27652;0;0;0
18395;18395;0;1;1
9615;9615;0;1;1
60536;-5000;0;1;1
10407;10407;0;0;0
38022;-27514;0;1;1
5195;5195;0;0;0
6678;6678;0;1;1
26090;26090;0;1;1
41318;-24218;0;1;1
50658;-14878;0;0;0
49755;-15781;0;0;0
57905;-7631;0;0;0
41658;-23878;0;0;0
34388;-31148;0;0;0
51483;-14053;0;0;0
1211;1211;0;0;0
49824;-15712;0;1;1
3152;3152;0;0;0
18713;18713;0;1;1
34484;-31052;0;1;1
43942;-21594;0;0;0
65021;-515;0;0;0
43930;-21606;0;0;0
54137;-11399;0;0;0
65149;-387;0;0;0
56469;-9067;0;0;0
63937;-1599;0;0;0
7903;7903;0;0;0
52178;-13358;0;1;1
21014;21014;0;0;0
10886;10886;0;1;1
1505;1505;0;1;1
38864;-26672;0;1;1
34897;-30639;0;0;0
20418;20418;0;0;0
51349;-14187;0;1;1
12269;12269;0;0;0
6238;6238;0;1;1
39219;-26317;0;1;1
44974;-20562;0;0;0
18458;18458;0;0;0
65401;-135;0;1;1
64142;-1394;0;0;0
30839;30839;0;0;0
43597;-21939;0;1;1
39775;-25761;0;0;0
6081;6081;0;0;0
57171;-8365;0;1;1
38886;-26650;0;0;0
55878;-9658;0;0;0
52038;-13498;0;0;0
8910;8910;0;0;0
60864;-4672;0;1;1
20782;20782;0;0;0
42572;-22964;0;1;1
36954;-28582;0;0;0
13864;13864;0;0;0
357;357;0;1;1
24643;24643;0;1;1
53603;-11933;0;1;1
42854;-22682;0;0;0
61483;-4053;0;0;0
52282;-13254;0;0;0
53249;-12287;0;0;0
9740;9740;0;0;0
35697;-29839;0;1;1
25476;25476;0;0;0
40623;-24913;0;1;1
6384;6384;0;0;0
56910;-8626;0;1;1
42644;-22892;0;0;0
22429;22429;0;0;0
53476;-12060;0;1;1
51653;-13883;0;0;0
51514;-14022;0;0;0
43096;-22440;0;0;0
56837;-8699;0;0;0
10040;10040;0;0;0
33333;-32203;0;1;1
42848;-22688;0;0;0
38047;-27489;0;0;0
37533;-28003;0;0;0
64158;-1378;0;0;0
56391;-9145;0;0;0
19853;19853;0;0;0
1550;1550;0;1;1
22481;22481;0;1;1
28085;28085;0;1;1
46144;-19392;0;1;1
2838;2838;0;0;0
58775;-6761;0;1;1
13938;13938;0;0;0
11670;11670;0;1;1
33046;-32490;0;1;1
32405;32405;0;0;0
48907;-16629;0;1;1
65255;-281;0;0;0
9278;9278;0;0;0
37246;-28290;0;1;1
14733;14733;0;0;0
1546;1546;0;1;1
48721;-16815;0;1;1
60021;-5515;0;0;0
40386;-25150;0;0;0
45090;-20446;0;0;0
38910;-26626;0;0;0
32837;-32699;0;0;0
12931;12931;0;0;0
62870;-2666;0;1;1
56150;-9386;0;0;0
25083;25083;0;0;0
18372;18372;0;1;1
34429;-31107;0;1;1
27262;27262;0;0;0
12478;12478;0;1;1
49704;-15832;0;1;1
22117;22117;0;0;0
589;589;0;1;1
59474;-6062;0;1;1
32470;32470;0;0;0
43754;-21782;0;1;1
26691;26691;0;0;0
17935;17935;0;1;1
35072;-30464;0;1;1
58230;-7306;0;0;0
58226;-7310;0;0;0
8709;8709;0;0;0
26073;26073;0;1;1
62815;-2721;0;1;1
29577;29577;0;0;0
28603;28603;0;1;1
43340;-22196;0;1;1
33738;-31798;0;0;0
788;788;0;0;0
26604;26604;0;1;1
50940;-14596;0;1;1
7640;7640;0;0;0
27624;27624;0;1;1
52621;-12915;0;1;1
49803;-15733;0;0;0
45748;-19788;0;0;0
60469;-5067;0;0;0
8304;8304;0;0;0
33534;-32002;0;1;1
16984;16984;0;0;0
28972;28972;0;1;1
9971;9971;0;1;1
27902;27902;0;1;1
38104;-27432;0;1;1
4364;4364;0;0;0
47211;-18325;0;1;1
29283;29283;0;0;0
58855;-6681;0;1;1
35542;-29994;0;0;0
18226;18226;0;0;0
8310;8310;0;1;1
46391;-19145;0;1;1
19672;19672;0;0;0
7353;7353;0;1;1
23391;23391;0;1;1
35675;-29861;0;1;1
58972;-6564;0;0;0
63405;-2131;0;0;0
37936;-27600;0;0;0
13439;13439;0;0;0
54454;-11082;0;1;1
21125;21125;0;0;0
53539;-11997;0;1;1
10328;10328;0;0;0
28429;28429;0;1;1
18068;18068;0;1;1
