int address,bool busy,int byte_sel,int data_from_bus,int data_to_bus,bool error_from_bus,int next_state,bool ready_from_bus,bool request,bool reset,int state,bool wb_ack,int wb_adr,bool wb_cyc,int wb_dat_i,int wb_dat_o,bool wb_err,bool wb_rst,int wb_sel,bool wb_stall,bool wb_stb,bool wb_we,bool write
52,1,1,0,1,0,1,1,1,0,2,1,52,1,0,1,0,0,1,0,1,0,0
52,0,0,0,1,0,1,0,0,0,1,0,52,0,0,1,0,0,1,0,0,0,0
52,0,0,0,1,0,1,0,0,0,1,0,52,0,0,1,0,0,0,0,0,0,0
36,0,15,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
36,1,15,0,1,0,2,0,1,0,2,0,36,1,0,1,0,0,15,0,1,0,0
36,1,15,334288082,1,0,1,1,1,0,2,1,36,1,334288082,1,0,0,15,0,1,0,0
36,0,0,0,1,0,1,0,0,0,1,0,36,0,0,1,0,0,15,0,0,0,0
36,0,0,0,1,0,1,0,0,0,1,0,36,0,0,1,0,0,0,0,0,0,0
40,0,15,0,1,0,2,0,1,0,1,0,36,0,0,1,0,0,0,0,0,0,0
40,1,15,0,1,0,2,0,1,0,2,0,40,1,0,1,0,0,15,0,1,0,0
40,1,15,-1978647060,1,0,1,1,1,0,2,1,40,1,-1978647060,1,0,0,15,0,1,0,0
40,0,0,0,1,0,1,0,0,0,1,0,40,0,0,1,0,0,15,0,0,0,0
40,0,0,0,1,0,1,0,0,0,1,0,40,0,0,1,0,0,0,0,0,0,0
44,0,15,0,1,0,2,0,1,0,1,0,40,0,0,1,0,0,0,0,0,0,0
44,1,15,0,1,0,2,0,1,0,2,0,44,1,0,1,0,0,15,0,1,0,0
44,1,15,587677566,1,0,1,1,1,0,2,1,44,1,587677566,1,0,0,15,0,1,0,0
44,0,0,0,1,0,1,0,0,0,1,0,44,0,0,1,0,0,15,0,0,0,0
44,0,0,0,1,0,1,0,0,0,1,0,44,0,0,1,0,0,0,0,0,0,0
48,0,15,0,1,0,2,0,1,0,1,0,44,0,0,1,0,0,0,0,0,0,0
48,1,15,0,1,0,2,0,1,0,2,0,48,1,0,1,0,0,15,0,1,0,0
48,1,15,1413720707,1,0,1,1,1,0,2,1,48,1,1413720707,1,0,0,15,0,1,0,0
48,0,0,0,1,0,1,0,0,0,1,0,48,0,0,1,0,0,15,0,0,0,0
48,0,0,0,1,0,1,0,0,0,1,0,48,0,0,1,0,0,0,0,0,0,0
96,0,1,0,210,0,2,0,1,0,1,0,48,0,0,1,0,0,0,0,0,0,1
96,1,1,0,210,0,2,0,1,0,2,0,96,1,0,210,0,0,1,0,1,1,1
96,1,1,0,210,0,3,0,1,0,2,0,96,1,0,210,0,0,1,1,1,1,1
96,1,1,0,210,0,3,0,1,0,3,0,96,1,0,210,0,0,1,1,0,1,1
96,1,1,0,210,0,3,0,1,0,3,0,96,1,0,210,0,0,1,1,0,1,1
96,1,1,0,210,0,3,0,1,0,3,0,96,1,0,210,0,0,1,1,0,1,1
96,1,1,0,210,0,3,0,1,0,3,0,96,1,0,210,0,0,1,1,0,1,1
96,1,1,0,210,0,3,0,1,0,3,0,96,1,0,210,0,0,1,1,0,1,1
96,1,1,0,210,0,3,0,1,0,3,0,96,1,0,210,0,0,1,1,0,1,1
96,1,1,0,210,0,3,0,1,0,3,0,96,1,0,210,0,0,1,1,0,1,1
96,1,0,0,210,0,1,1,0,0,3,1,96,1,0,210,0,0,1,0,0,1,0
96,0,0,0,210,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,212,0,2,0,1,0,1,0,96,0,0,210,0,0,0,0,0,0,1
96,1,1,0,212,0,2,0,1,0,2,0,96,1,0,212,0,0,1,0,1,1,1
96,1,1,0,212,0,3,0,1,0,2,0,96,1,0,212,0,0,1,1,1,1,1
96,1,1,0,212,0,3,0,1,0,3,0,96,1,0,212,0,0,1,1,0,1,1
96,1,1,0,212,0,3,0,1,0,3,0,96,1,0,212,0,0,1,1,0,1,1
96,1,1,0,212,0,3,0,1,0,3,0,96,1,0,212,0,0,1,1,0,1,1
96,1,1,0,212,0,3,0,1,0,3,0,96,1,0,212,0,0,1,1,0,1,1
96,1,1,0,212,0,3,0,1,0,3,0,96,1,0,212,0,0,1,1,0,1,1
96,1,1,0,212,0,3,0,1,0,3,0,96,1,0,212,0,0,1,1,0,1,1
96,1,1,0,212,0,3,0,1,0,3,0,96,1,0,212,0,0,1,1,0,1,1
96,1,0,0,212,0,1,1,0,0,3,1,96,1,0,212,0,0,1,0,0,1,0
96,0,0,0,212,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,236,0,2,0,1,0,1,0,96,0,0,212,0,0,0,0,0,0,1
96,1,1,0,236,0,2,0,1,0,2,0,96,1,0,236,0,0,1,0,1,1,1
96,1,1,0,236,0,3,0,1,0,2,0,96,1,0,236,0,0,1,1,1,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
96,1,1,0,236,0,3,0,1,0,3,0,96,1,0,236,0,0,1,1,0,1,1
